Rank,Branch,last_role_title,Target_Next_Role,Target_Next_Role_Raw
Commodore,Tactical Systems,Director SFHQ - Systems Integration,Managing Director R&D - Stealth Systems,Managing Director R&D - Stealth Systems
Rear Admiral,Tactical Systems,Managing Director R&D - Stealth Systems,Dy to Chief - Tactical Systems,Dy to Chief - Tactical Systems
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt CS Titan
Commander,Engineering,Head of Deptt,Manager,Manager Fleet Maintenance Wing Beta
Captain,Engineering,Manager,Director Planetary Repair Depot One,Director Planetary Repair Depot One
Commodore,Engineering,Director Planetary Repair Depot One,Dy Managing Director Hull Repair Yard Alpha,Dy Managing Director Hull Repair Yard Alpha
Rear Admiral,Engineering,Dy Managing Director Hull Repair Yard Alpha,Director General R&D - Sensors and Communications,Director General R&D - Sensors and Communications
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Tactical Systems,Asst Manager,Staff Officer SFHQ - Resource Management,Staff Officer SFHQ - Resource Management / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Endeavour
Commander,Engineering,Head of Deptt,Dy Director R&D -,Dy Director R&D - Warp Field Dynamics
Captain,Engineering,Dy Director R&D -,Dean -,Dean - Fleet Technical Training Center
Commodore,Engineering,Dean -,Managing Director R&D -,Managing Director R&D - Warp Field Dynamics
Rear Admiral,Engineering,Managing Director R&D -,Managing Director,Managing Director Systems Maintenance Group Prime
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Daedalus
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Systems Integration,Dy Director SFHQ - Systems Integration
Captain,Tactical Systems,Dy Director SFHQ - Systems Integration,Director SFHQ - Doctrine and Development,Director SFHQ - Doctrine and Development
Commodore,Tactical Systems,Director SFHQ - Doctrine and Development,Commandant -,Commandant - Systems Design College
Rear Admiral,Tactical Systems,Commandant -,Managing Director Hull Repair Yard Alpha,Managing Director Hull Repair Yard Alpha
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Pioneer
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Tactical AI,Dy Director R&D - Tactical AI
Captain,Tactical Systems,Dy Director R&D - Tactical AI,Snr Staff Officer,Snr Staff Officer Field HQ - Tactical Systems
Commodore,Tactical Systems,Snr Staff Officer,Managing Director R&D - Deflector Shields,Managing Director R&D - Deflector Shields
Rear Admiral,Tactical Systems,Managing Director R&D - Deflector Shields,Director General R&D - Plasma Systems,Director General R&D - Plasma Systems
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 14
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 13
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Dockyard Complex Two / Post 8
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College / Post 13
Lieutenant,Tactical Systems,Asst Manager,Instructor -,Instructor - Advanced Systems College / Post 12
Lieutenant,Tactical Systems,Asst Manager,Dy Manager Planetary Repair Depot Two,Dy Manager Planetary Repair Depot Two / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 18
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College / Post 14
Lieutenant,Engineering,Asst Manager,Asst Manager,Asst Manager Systems Maintenance Group Sigma / Post 6
Lieutenant,Engineering,Div Officer,Staff Officer,Staff Officer Field HQ - Engineering / Post 21
Lieutenant,Tactical Systems,Asst Manager Planetary Repair Depot One,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 19
Lieutenant,Engineering,Asst Manager,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 14
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 15
Lieutenant,Engineering,Staff Officer SFHQ - Strategic Planning,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One / Post 4
Lieutenant,Engineering,Asst Manager,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha / Post 7
Lieutenant,Engineering,Asst Manager,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 14
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College / Post 15
Lieutenant,Engineering,Div Officer,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha
Lieutenant Commander,Engineering,Asst Manager Hull Repair Yard Alpha,Head of Deptt,Head of Deptt ISS Meridian / Post 6
Lieutenant Commander,Science,Staff Officer R&D - Deflector Shields,Staff Officer R&D - Hull Integrity,Staff Officer R&D - Hull Integrity / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Pioneer / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Pioneer / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Nova / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Nova / Post 5
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Dockyard Complex One
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt ISS Prometheus / Post 7
Lieutenant,Engineering,Asst Manager Hull Repair Yard Beta,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Engineering,Asst Manager,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 10
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt CS Prometheus / Post 3
Lieutenant Commander,Science,Staff Officer R&D - Sensors and Communications,Staff Officer R&D - Tactical AI,Staff Officer R&D - Tactical AI / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Resolute / Post 4
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Resource Management,Staff Officer SFHQ - Resource Management
Lieutenant Commander,Engineering,Staff Officer SFHQ - Resource Management,Head of Deptt,Head of Deptt CS Titan / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Gateway / Post 10
Lieutenant,Tactical Systems,Asst Manager,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta
Lieutenant Commander,Tactical Systems,Dy Manager Hull Repair Yard Beta,Staff Officer SFHQ - Technical Policy,Staff Officer SFHQ - Technical Policy
Lieutenant,Engineering,Asst Manager,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta
Lieutenant Commander,Engineering,Dy Manager Hull Repair Yard Beta,Dy Manager,Dy Manager Starbase Support Command Gamma / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Gateway / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Meridian / Post 6
Lieutenant,Engineering,Instructor -,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Dy Manager,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 9
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Propulsion Systems,Staff Officer R&D - Propulsion Systems / Post 3
Lieutenant,Tactical Systems,Asst Manager,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Tactical Systems,Asst Manager,Dy Manager,Dy Manager Fleet Maintenance Wing Beta / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Hermes / Post 3
Lieutenant,Engineering,Asst Manager,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Engineering,Asst Manager,Dy Manager,Dy Manager Starbase Support Command Delta / Post 4
Lieutenant,Engineering,Div Officer,Asst Manager Hull Repair Yard Beta,Asst Manager Hull Repair Yard Beta
Lieutenant Commander,Engineering,Asst Manager Hull Repair Yard Beta,Head of Deptt,Head of Deptt CS Horizon / Post 3
Lieutenant Commander,Science,Instructor -,Instructor -,Instructor - Systems Design College / Post 16
Lieutenant,Engineering,Asst Manager,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Engineering,Dy Manager Planetary Repair Depot One,Staff Officer SFHQ - Systems Integration,Staff Officer SFHQ - Systems Integration / Post 2
Lieutenant Commander,Science,Staff Officer R&D - Tactical AI,Training Officer -,Training Officer - Enlisted Technical School / Post 4
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Stealth Systems,Staff Officer R&D - Stealth Systems / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Horizon / Post 4
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Daedalus / Post 3
Lieutenant Commander,Science,Asst Manager,Instructor -,Instructor - Enlisted Technical School / Post 15
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Prometheus / Post 8
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt RS Gateway / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Meridian / Post 1
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Titan / Post 3
Lieutenant Commander,Science,Instructor -,Training Officer -,Training Officer - Warp Technology Institute / Post 4
Lieutenant,Tactical Systems,Div Officer,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning
Lieutenant Commander,Tactical Systems,Staff Officer SFHQ - Capability Planning,Head of Deptt,Head of Deptt USS Eclipse / Post 3
Lieutenant Commander,Science,Staff Officer R&D - Nanotech Repair,Training Officer -,Training Officer - Advanced Systems College / Post 5
Lieutenant Commander,Science,Instructor -,Staff Officer R&D - Sensors and Communications,Staff Officer R&D - Sensors and Communications / Post 4
Lieutenant,Tactical Systems,Instructor -,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Tactical Systems,Dy Manager Planetary Repair Depot One,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha / Post 4
Lieutenant,Tactical Systems,Asst Manager,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Tactical Systems,Dy Manager,Dy Manager,Dy Manager Starbase Support Command Gamma / Post 7
Lieutenant Commander,Science,Staff Officer R&D - Hull Integrity,Staff Officer R&D - Structural Materials,Staff Officer R&D - Structural Materials / Post 3
Lieutenant Commander,Science,Instructor -,Training Officer -,Training Officer - Advanced Systems College / Post 6
Lieutenant Commander,Science,Staff Officer,Staff Officer R&D - Stealth Systems,Staff Officer R&D - Stealth Systems / Post 3
Lieutenant Commander,Science,Staff Officer R&D - Nanotech Repair,Staff Officer R&D - Structural Materials,Staff Officer R&D - Structural Materials / Post 4
Lieutenant Commander,Science,Instructor -,Training Officer -,Training Officer - Systems Design College / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Meridian / Post 2
Lieutenant,Engineering,Asst Manager,Dy Manager Planetary Repair Depot One,Dy Manager Planetary Repair Depot One
Lieutenant Commander,Engineering,Dy Manager Planetary Repair Depot One,Dy Manager,Dy Manager Starbase Support Command Delta / Post 5
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Alpha
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt ISS Prometheus / Post 9
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Gateway / Post 11
Lieutenant Commander,Science,Staff Officer,Instructor -,Instructor - Starfleet Hull School / Post 21
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Pioneer / Post 3
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Starbase Support Command Gamma
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt ISS Horizon / Post 5
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Meridian / Post 3
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Fleet Maintenance Wing Beta
Lieutenant Commander,Engineering,Dy Manager,Head of Deptt,Head of Deptt USS Horizon / Post 5
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Dockyard Complex One
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt USS Endeavour / Post 2
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Helios
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering / Post 22
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Meridian
Commander,Tactical Systems,Head of Deptt,Manager,Manager Fleet Maintenance Wing Beta / Post 11
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Vanguard
Commander,Engineering,Head of Deptt,Dy Director R&D - Deflector Shields,Dy Director R&D - Deflector Shields / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Meridian
Commander,Engineering,Head of Deptt,Dy Director R&D - Stealth Systems,Dy Director R&D - Stealth Systems / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt RS Gateway
Commander,Engineering,Head of Deptt,Manager Hull Repair Yard Beta,Manager Hull Repair Yard Beta / Post 8
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Vanguard
Commander,Engineering,Head of Deptt,Manager,Manager Starbase Support Command Delta / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Pioneer
Commander,Tactical Systems,Head of Deptt,Manager,Manager Systems Maintenance Group Prime / Post 13
Lieutenant,Hull Systems,Staff Officer R&D - Sensors and Communications,Dy Manager,Dy Manager Dockyard Complex Two
Lieutenant Commander,Hull Systems,Dy Manager,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha
Commander,Hull Systems,Dy Manager Hull Repair Yard Alpha,Training Officer -,Training Officer - Enlisted Technical School / Post 5
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt SS Prometheus
Commander,Engineering,Head of Deptt,Manager,Manager Systems Maintenance Group Sigma / Post 10
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Science Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt USS Resolute
Commander,Engineering,Head of Deptt,Manager Hull Repair Yard Alpha,Manager Hull Repair Yard Alpha / Post 9
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Titan
Commander,Engineering,Head of Deptt,Dy Director SFHQ -,Dy Director SFHQ - Fleet Readiness
Captain,Engineering,Dy Director SFHQ -,Director R&D -,Director R&D - Warp Field Dynamics / Post 2
Lieutenant Commander,Science,Staff Officer,Training Officer -,Training Officer - Starfleet Hull School
Commander,Science,Training Officer -,Dy Director R&D - Sensors and Communications,Dy Director R&D - Sensors and Communications
Captain,Science,Dy Director R&D - Sensors and Communications,Director R&D - Tactical AI,Director R&D - Tactical AI / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis
Commander,Tactical Systems,Head of Deptt,Training Officer -,Training Officer - Warp Technology Institute
Captain,Tactical Systems,Training Officer -,Director R&D -,Director R&D - Warp Field Dynamics / Post 3
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt CS Horizon
Commander,Tactical Systems,Head of Deptt,Dy Director SFHQ - Resource Management,Dy Director SFHQ - Resource Management
Captain,Tactical Systems,Dy Director SFHQ - Resource Management,Snr Staff Officer,Snr Staff Officer Field HQ - Tactical Systems / Post 3
Lieutenant Commander,Science,Staff Officer R&D - Nanotech Repair,Training Officer -,Training Officer - Fleet Technical Training Center
Commander,Science,Training Officer -,Dy Director R&D - Sensors and Communications,Dy Director R&D - Sensors and Communications
Captain,Science,Dy Director R&D - Sensors and Communications,Director R&D - Hull Integrity,Director R&D - Hull Integrity / Post 3
Lieutenant Commander,Science,Staff Officer R&D - Plasma Systems,Training Officer -,Training Officer - Enlisted Technical School
Commander,Science,Training Officer -,Training Officer -,Training Officer - Starfleet Engineering Academy
Captain,Science,Training Officer -,Dean -,Dean - Starfleet Engineering Academy / Post 2
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt SS Genesis
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Stealth Systems,Dy Director R&D - Stealth Systems
Captain,Tactical Systems,Dy Director R&D - Stealth Systems,Director R&D - Hull Integrity,Director R&D - Hull Integrity / Post 4
Lieutenant Commander,Science,Staff Officer R&D - Plasma Systems,Training Officer -,Training Officer - Starfleet Engineering Academy
Commander,Science,Training Officer -,Dy Director R&D - Stealth Systems,Dy Director R&D - Stealth Systems
Captain,Science,Dy Director R&D - Stealth Systems,Dean -,Dean - Enlisted Technical School / Post 2
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Starbase Support Command Delta
Lieutenant Commander,Tactical Systems,Dy Manager,Head of Deptt,Head of Deptt CS Pioneer
Commander,Tactical Systems,Head of Deptt,Manager Planetary Repair Depot One,Manager Planetary Repair Depot One
Captain,Tactical Systems,Manager Planetary Repair Depot One,Snr Staff Officer,Snr Staff Officer Field HQ - Tactical Systems / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt ISS Gateway
Commander,Tactical Systems,Head of Deptt,Dy Director R&D - Nanotech Repair,Dy Director R&D - Nanotech Repair
Captain,Tactical Systems,Dy Director R&D - Nanotech Repair,Dean -,Dean - Fleet Technical Training Center / Post 4
Lieutenant,Engineering,Div Officer,Staff Officer SFHQ - Operations Analysis,Staff Officer SFHQ - Operations Analysis
Lieutenant Commander,Engineering,Staff Officer SFHQ - Operations Analysis,Head of Deptt,Head of Deptt RS Genesis
Commander,Engineering,Head of Deptt,Manager,Manager Dockyard Complex One
Captain,Engineering,Manager,General Manager,General Manager Systems Maintenance Group Sigma
Commodore,Engineering,General Manager,Managing Director R&D - Structural Materials,Managing Director R&D - Structural Materials / Post 3
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy
Lieutenant Commander,Engineering,Instructor -,Head of Deptt,Head of Deptt ISS Meridian
Commander,Engineering,Head of Deptt,Staff Officer,Staff Officer Field HQ - Engineering
Captain,Engineering,Staff Officer,Dean -,Dean - Systems Design College
Commodore,Engineering,Dean -,Asst to Chief - Engineering,Asst to Chief - Engineering / Post 5
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Dockyard Complex Two
Lieutenant Commander,Engineering,Asst Manager,Head of Deptt,Head of Deptt SS Daedalus
Commander,Engineering,Head of Deptt,Dy Director SFHQ - Doctrine and Development,Dy Director SFHQ - Doctrine and Development
Captain,Engineering,Dy Director SFHQ - Doctrine and Development,General Manager,General Manager Dockyard Complex One
Commodore,Engineering,General Manager,Asst to Chief - Engineering,Asst to Chief - Engineering / Post 6
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School
Lieutenant Commander,Tactical Systems,Instructor -,Head of Deptt,Head of Deptt RS Gateway
Commander,Tactical Systems,Head of Deptt,Dy Director R&D -,Dy Director R&D - Warp Field Dynamics
Captain,Tactical Systems,Dy Director R&D -,Snr Staff Officer,Snr Staff Officer Field HQ - Tactical Systems
Commodore,Tactical Systems,Snr Staff Officer,Managing Director R&D - Deflector Shields,Managing Director R&D - Deflector Shields / Post 2
Lieutenant,Hull Systems,Asst Manager,Dy Manager,Dy Manager Dockyard Complex One / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 23
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 14
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 16
Lieutenant,Engineering,Asst Manager Hull Repair Yard Alpha,Dy Manager,Dy Manager Starbase Support Command Delta / Post 6
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 15
Lieutenant,Hull Systems,Asst Manager Planetary Repair Depot Two,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 11
Lieutenant,Tactical Systems,Div Officer,Dy Manager,Dy Manager Dockyard Complex One / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 16
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 17
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Systems Design College / Post 17
Lieutenant,Tactical Systems,Div Officer,Asst Manager,Asst Manager Dockyard Complex One / Post 6
Lieutenant,Engineering,Asst Manager,Asst Manager Planetary Repair Depot One,Asst Manager Planetary Repair Depot One / Post 9
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 16
Lieutenant,Engineering,Div Officer,Staff Officer,Staff Officer Field HQ - Engineering / Post 23
Lieutenant,Engineering,Div Officer,Asst Manager Hull Repair Yard Alpha,Asst Manager Hull Repair Yard Alpha / Post 4
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Hull School / Post 25
Lieutenant,Tactical Systems,Div Officer,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 27
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Science Academy / Post 18
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 17
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 13
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 18
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 14
Lieutenant,Engineering,Div Officer,Asst Manager,Asst Manager Fleet Maintenance Wing Alpha / Post 9
Lieutenant,Engineering,Div Officer,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 10
Lieutenant,Engineering,Asst Manager,Dy Manager Hull Repair Yard Alpha,Dy Manager Hull Repair Yard Alpha / Post 12
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 18
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 15
Lieutenant,Tactical Systems,Asst Manager,Staff Officer SFHQ - Capability Planning,Staff Officer SFHQ - Capability Planning / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 18
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Systems Design College / Post 19
Lieutenant,Tactical Systems,Asst Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta / Post 7
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Enlisted Technical School / Post 19
Lieutenant,Tactical Systems,Asst Manager Planetary Repair Depot Two,Asst Manager,Asst Manager Systems Maintenance Group Sigma / Post 7
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Starfleet Engineering Academy / Post 20
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 16
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 17
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 15
Lieutenant,Engineering,Asst Manager Planetary Repair Depot Two,Dy Manager,Dy Manager Systems Maintenance Group Prime / Post 11
Lieutenant,Tactical Systems,Instructor -,Staff Officer,Staff Officer Field HQ - Tactical Systems / Post 28
Lieutenant,Engineering,Div Officer,Instructor -,Instructor - Advanced Systems College / Post 16
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Warp Technology Institute / Post 20
Lieutenant,Tactical Systems,Div Officer,Instructor -,Instructor - Fleet Technical Training Center / Post 19
Lieutenant Commander,Science,Staff Officer R&D - Nanotech Repair,Dy Manager Hull Repair Yard Beta,Dy Manager Hull Repair Yard Beta / Post 8
Lieutenant,Tactical Systems,Asst Manager,Staff Officer,Staff Officer Field HQ - Tactical Systems
Lieutenant Commander,Tactical Systems,Staff Officer,Dy Manager,Dy Manager Dockyard Complex One / Post 8
Lieutenant Commander,Science,Staff Officer R&D - Tactical AI,Instructor -,Instructor - Systems Design College / Post 20
Lieutenant Commander,Science,Staff Officer R&D - Tactical AI,Training Officer -,Training Officer - Starfleet Engineering Academy / Post 6
